,Obs_mean,Economic infrastructure and services,Multi-sector / Cross-cutting,Production sectors,Social infrastructure and services,OECD,KOICA,Guerra de Corea,PIB_promedio,TLC,Balanza_promedio,hdr_value
Cameroon,2056158.5801764706,1,1,1,1,0,0,0,31217153246.032616,0,-60.89255000000001,151
Georgia,30355.243014473683,1,1,1,1,0,0,0,14272394288.11571,0,66.434,60
Cabo Verde,0.23427771428571428,1,0,1,1,0,0,0,1748340293.3337083,0,328.5900500000001,131
Tonga,0.07218052777777778,1,1,1,1,0,0,0,385979362.43603784,0,-71.70340000000002,98
Nepal,3401406.831976181,1,1,1,1,0,1,0,21560566814.886242,0,30.210649999999998,146
Bhutan,104116.58642078126,1,1,1,1,0,0,0,1806077890.6105025,0,5.484500000000001,125
Argentina,0.13042635483870968,1,1,1,1,0,0,0,422777070216.87006,0,-233026.61354999998,48
Afghanistan,7872308.6856089225,1,1,1,1,0,0,0,14183439787.176044,0,64.39785,182
Sudan,865112.8880435965,1,1,1,1,0,0,0,44961071588.27589,0,65.4861,170
India,1794177.938062381,1,1,1,1,0,1,1,1905620386823.4263,0,6673899.7,134
Fiji,511812.63056863233,1,1,1,1,0,0,0,3988654915.3144426,0,129.38299999999998,104
Saudi Arabia,0.080666,1,0,1,0,0,0,0,623715720543.1171,0,-21622239.55,40
Zimbabwe,257670.44275066667,1,1,1,1,0,0,0,18358288165.88888,0,55.70785000000001,159
Serbia,169262.22962202702,1,1,1,1,0,0,0,46447689061.3553,0,4.124150000000001,65
Brazil,139435.7589628049,1,1,1,1,0,0,0,1701800766729.2803,0,944433.7087000001,89
Haiti,522821.4861939,1,1,1,1,0,0,0,12856420128.271172,0,41.0078,158
Somalia,165527.93349449997,1,0,1,1,0,0,0,5901873289.390535,0,188.59019999999998,193
Myanmar,6619283.572642583,1,1,1,1,0,1,0,47488921253.09133,1,160.26874999999995,144
Armenia,45388.24559228125,1,1,1,1,0,0,0,10506269770.070715,0,33.26655,76
Algeria,456048.92218365625,1,1,1,1,0,0,0,172393346524.88425,0,-595188.2682,93
Tajikistan,328947.89783689834,1,1,1,1,0,1,0,6360293410.294267,0,31.38245,126
Viet Nam,28555385.417556085,1,1,1,1,0,1,0,202930323712.25012,1,17601663.5,107
Albania,988109.9131967619,1,1,1,1,0,0,0,12541248403.293423,0,41.5029,74
Benin,94562.19170317857,1,1,1,1,0,0,0,11326720250.896194,0,23.0717,173
Guinea,126816.18525483333,1,1,1,1,0,0,0,9445780063.690845,0,-63.55105,181
Guatemala,1384509.1282854492,1,1,1,1,0,0,0,54272330247.58586,1,209.1172,136
Malaysia,250270.05735548484,1,1,1,1,0,0,0,270983468857.09595,1,-2161956.99695,63
Thailand,803062.81453,1,1,1,1,0,0,1,362855785185.7156,1,1518524.0038500002,66
Mali,1477787.3106596668,1,1,1,1,0,0,0,12375240364.797709,0,88.00019999999999,188
Mozambique,5604948.998691706,1,1,1,1,0,0,0,13411600609.844593,0,118037.9344,183
Sao Tome and Principe,0.106039875,0,0,0,1,0,0,0,282331379.55385745,0,168.4156,141
Montenegro,80312.06342923077,1,1,0,1,0,0,0,4227002903.338592,0,3.186750000000001,50
Dominican Republic,2672581.816717211,1,1,1,1,0,0,0,63488052304.85726,0,116.50420000000001,82
Nigeria,888631.4169724854,1,1,1,1,0,0,0,358459948883.83264,0,294466.74220000004,161
El Salvador,2129690.14994225,1,1,1,1,0,0,0,21505138336.363636,1,99.5971,127
Grenada,0.07397594444444444,1,1,1,1,0,0,0,902553979.7979797,0,2.4264,73
Peru,1909243.4417032083,1,1,1,1,0,1,0,163087949906.1924,1,-786048.0061000001,87
Philippines,12524710.817203278,1,1,1,1,0,1,1,253429583590.08456,1,4336229.7343999995,113
Belize,0.13736375,1,1,0,1,0,0,0,1980281818.181818,0,-0.6842999999999998,118
Ethiopia,9660520.874556292,1,1,1,1,0,1,1,56917563657.881004,0,47.18525,176
Vanuatu,0.11244561904761904,0,1,1,1,0,0,0,702132246.6541923,0,-25.166099999999993,140
Nauru,0.06941626315789474,1,1,1,1,0,0,0,82022120.53421359,0,-43.2294,122
Solomon Islands,278202.71123391227,1,1,1,1,0,0,0,1095389335.188454,0,-3.988899999999999,156
South Sudan,811182.2703936818,1,1,1,1,0,0,0,14080606755.744593,0,181.69665,192
Panama,72703.80613503637,1,1,1,1,0,0,0,43586875168.181816,1,2104681.5556500005,57
Ecuador,3733226.0384776806,1,1,1,1,0,0,0,78981045590.90909,1,516.8659,83
Mauritania,0.10026121052631579,1,1,1,1,0,0,0,6030813634.878242,0,-14.333700000000002,164
Turkmenistan,161475.45890638462,1,1,1,1,0,0,0,30401405796.750866,0,92.40719999999999,94
Djibouti,0.250103625,1,0,1,1,0,0,0,1925900906.7327695,0,45.934799999999996,171
Malawi,562977.5778522308,1,1,1,1,0,0,0,8765202444.806957,0,-6.5344999999999995,172
Jamaica,55626.3665390625,1,1,1,1,0,0,0,13699583494.693375,0,41.87015,115
Mongolia,8107026.131645818,1,1,1,1,0,1,0,9445534640.921053,0,265.3334,96
Madagascar,758019.9802392353,1,1,1,1,0,0,0,10850646691.021866,0,-19.076600000000003,177
Namibia,0.08303565384615386,1,1,1,1,0,0,0,10321689082.695538,0,-45.890100000000004,142
Seychelles,0.03339957142857143,1,0,0,1,0,0,0,1300102715.8123467,0,11.652849999999999,67
Syrian Arab Republic,42465.653225,1,1,1,1,0,0,0,30088249611.09719,0,55538.744849999995,157
Gabon,0.143602425,1,1,1,1,0,0,0,14405269823.798847,0,-229.31634999999997,123
Burundi,79610.22152376316,1,1,1,1,0,0,0,2115732496.690727,0,308.58065,187
