,Obs_mean,Economic infrastructure and services,Multi-sector / Cross-cutting,Production sectors,Social infrastructure and services,OECD,KOICA,Guerra de Corea,gdp_2002,gdp_2003,gdp_2004,gdp_2005,gdp_2006,gdp_2007,gdp_2008,gdp_2009,gdp_2010,gdp_2011,gdp_2012,gdp_2013,gdp_2014,gdp_2015,gdp_2016,gdp_2017,gdp_2018,gdp_2019,gdp_2020,gdp_2021,gdp_2022,gdp_2023,TLC,balanza_2005,balanza_2006,balanza_2007,balanza_2008,balanza_2009,balanza_2010,balanza_2011,balanza_2012,balanza_2013,balanza_2014,balanza_2015,balanza_2016,balanza_2017,balanza_2018,balanza_2019,balanza_2020,balanza_2021,balanza_2022,balanza_2023,balanza_2024,hdr_value
Cameroon,2056158.5801764706,1,1,1,1,0,0,0,12417251350.488163,15970315034.990343,18826214135.641937,19509852206.93408,20910512974.933037,23928250433.037815,27715142032.912952,27932970317.129013,27507501821.029606,30630910495.21702,30155062329.282063,33728621180.323067,36386544706.08061,32210233020.456917,33814337044.376472,36098547033.16547,39955552189.79499,39667757527.65778,40773241177.05051,45011937346.83839,44347206072.55133,49279410982.825966,0,-310.545,-414.398,-495.231,-187.0,8.932,38.103,28.068,43.423,33.656,42.327,-11.883,20.914,-31.077,44.398,-15.072,-23.656,23.52,60.19,58.906,-131.426,151
Georgia,30355.243014473683,1,1,1,1,0,0,0,3395766677.673153,3991377904.1316156,5125365191.986644,6410912049.871047,7745250733.950674,10172931088.565523,12795145130.910282,10766920065.825115,12426907967.157818,15475290469.286894,16894392033.225578,17517660143.685932,17966015109.304302,15223796148.83962,15444548901.963682,16473125375.068438,17902544880.64707,17638337116.9126,16010869215.679968,18853115588.81058,24984568959.604965,30777833585.444084,0,-2.064,10.662,36.344,57.617,17.413,18.854,58.157,76.648,102.772,123.966,59.091,73.525,23.016,9.603,69.726,83.486,92.024,110.586,181.046,126.208,60
Cabo Verde,0.23427771428571428,1,0,1,1,0,0,0,620507387.4661741,813260468.8738337,924940011.8368965,972241676.9076619,1107571457.9061399,1649621738.636892,1959620648.3157773,1852334575.1752055,1824751467.9295683,2046817987.2010858,1913081210.4141111,2028910915.1644647,2041930125.4297915,1749857620.3532875,1849789992.7426016,1996741544.615735,2205099509.1598687,2252177133.7470455,1821565617.6945043,2051842609.6455781,2247003347.633758,2533819406.4915967,0,335.0,631.0,941.0,1.157,889.0,780.0,1.011,727.0,475.0,835.0,1.637,1.414,1.511,6.672,3.914,930.0,3.729,3.111,1.59,3.055,131
Tonga,0.07218052777777778,1,1,1,1,0,0,0,182764260.09543887,202246611.77407008,230677994.61423334,261823827.381488,292232681.6121698,298519618.08753884,344438839.641883,312415046.4124125,366887376.561955,414143823.1816477,471122970.87233704,451788486.86463743,440997738.0140776,437525514.240726,420828262.31792223,459976850.26852924,489714518.002333,494197841.11307716,496856295.76752037,518228012.0912896,518180042.24150884,385979362.43603784,0,931.0,-1.884,-496.0,-730.0,-53.0,-727.0,-1.449,-2.686,-1.537,-1.248,-1.226,-249.0,-3.213,-1.736,473.0,-1.23,-1.45,-723.0,2.591,155.0,98
Nepal,3401406.831976181,1,1,1,1,0,1,0,6050875806.664032,6330473096.540709,7273938314.719876,8130258377.90964,9043715355.888098,10325618017.37897,12545438605.395878,12854985464.076431,16002656434.474615,21573872420.700806,21703100877.13089,22162204924.572582,22731612922.190636,24360801286.76381,24524109483.529346,28971588940.363995,33111525237.14897,34186180699.02548,33433659301.24655,36924841394.26049,41182939600.67002,40908073366.84552,0,12.978,11.454,18.12,22.755,28.076,31.388,35.605,17.307,15.476,17.131,23.678,23.656,32.577,32.999,45.25,57.32,81.542,32.259,25.202,39.44,146
Bhutan,104116.58642078126,1,1,1,1,0,0,0,559345263.7083086,651935430.314445,735348490.4284352,860391000.2216555,942879878.5388786,1255767964.004914,1317517834.5991557,1331343797.773081,1708880730.8727052,1977728659.2562099,1973387228.0392401,1943696951.766127,2089079570.6754606,2187815803.829218,2357504760.597499,2591358009.797921,2583335721.206249,2735683570.2885056,2457604334.159146,2768802959.6079373,2898227743.1354527,1806077890.6105022,0,3.051,1.821,3.111,4.452,6.463,12.995,15.825,7.38,2.888,2.271,4.85,3.682,11.433,4.582,2.009,12.266,9.355,6.975,1.474,-7.193,125
Argentina,0.13042635483870968,1,1,1,1,0,0,0,97724004251.8602,127586973492.17664,164657930452.78662,198737095012.28165,232557260817.3077,287530508430.568,361558037110.41925,332976484577.6189,423627422092.4897,530158122010.44244,545982375701.128,552025140252.2463,526319673731.6383,594749285413.2124,557532320662.9546,643628393281.364,524819892360.1758,447754683615.22455,385740508436.9652,486564085480.0355,632790070063.1237,646075277525.1245,0,-62.747,-225.084,-242.393,-336.565,-177.988,114.842,32.981,-454.951,-120.725,252.921,347.866,-36.986,229.464,130.364,-522.871,-557.443,-1433007.0,-2042028.0,-1182868.0,-999.956,48
Afghanistan,7872308.6856089225,1,1,1,1,0,0,0,3825701438.9996333,4520946818.545814,5224896718.67782,6203256538.709669,6971758282.293506,9747886187.393929,10109297047.543194,12416152732.056717,15856668555.833595,17805098206.314083,19907329777.587166,20146416757.598675,20497128555.69723,19134221644.732494,18116572395.077213,18753456497.815865,18053222687.412624,18799444490.11278,19955929052.149597,14259995441.075907,14497243872.13374,17233051620.111732,0,59.556,78.474,108.91,72.972,88.505,68.116,119.795,143.119,63.675,58.733,39.542,43.288,74.352,93.38,49.908,28.831,23.204,18.428,24.034,31.135,182
Sudan,865112.8880435965,1,1,1,1,0,0,0,18137128388.360603,21355298459.595512,26646007250.731857,35182711987.974014,45263831634.1497,59440139774.81277,64833083257.1431,51621044076.92307,58962978034.48276,55018567210.52632,37632919966.666664,43024018082.19178,49516748617.97752,51726758676.76768,42630376000.0,41283617976.190475,32333780383.29238,32338079165.289257,27034593750.0,34229513774.993607,51666875363.0963,109265503110.9039,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.035,43.788,110.071,145.605,137.609,142.539,69.976,88.355,131.106,139.819,120.765,40.678,45.376,170
India,1794177.938062381,1,1,1,1,0,1,1,514939140318.7556,607700687237.3179,709152728830.7745,820383763511.4454,940259888787.7214,1216736438834.9553,1198895139005.919,1341888016994.8982,1675615519484.959,1823051829894.5461,1827637590410.4143,1856721507621.5764,2039126479154.5168,2103588360044.9392,2294796885663.163,2651474262755.452,2702929641648.7407,2835606256558.195,2674851578587.2686,3167270623260.4688,3353470496886.3335,3567551674623.007,0,2485761.0,1892008.0,1975618.0,2395822.0,3871668.0,5760140.0,4760505.0,5001211.0,5202509.0,7510618.0,7791384.0,7409580.0,10106583.0,9726774.0,9530512.0,7052663.0,7548837.0,9972967.0,11221240.0,12261594.0,134
